Quantity,Name,Finish,Condition,Language,Edition Name,Edition Code,Scryfall ID,Collector Number
1,Abjure,Normal,NM,EN,Weatherlight,wth,fbad9449-d09c-4fd0-b2ad-2aa3a29e03bf,31
1,Agility,Normal,NM,EN,Mirage,mir,5694cb42-7489-40c5-b21a-aeb36636015f,154
1,Alms,Normal,NM,EN,Weatherlight,wth,97382dd8-2754-4ca3-8ba8-d655acaf22ac,3
1,Ancestral Knowledge,Normal,NM,EN,Weatherlight,wth,05b90d72-00ac-4423-8cdf-e1471c6cd0ae,32
1,Ardent Militia,Normal,NM,EN,Weatherlight,wth,bb212ca5-bbb5-4c83-9a7b-9d5ab451e032,5
1,Argivian Restoration,Normal,NM,EN,Weatherlight,wth,9f1a9d35-1b2a-44a2-9bbc-8529a7487905,34
1,Aura of Silence,Normal,NM,EN,Weatherlight,wth,57e6c366-b8c7-4f66-b8e1-82dc69c0081c,7
1,Azimaet Drake,Normal,NM,EN,Mirage,mir,854ba4e0-f6f3-4b6c-b6cb-ab2b93d64601,53
1,Bad River,Normal,NM,EN,Mirage,mir,7a78abdb-d1ac-49cb-a74b-9de21c06364a,324
1,Barishi,Normal,NM,EN,Weatherlight,wth,f263eb80-f8f2-4b32-8e8b-a297de9f3666,119
1,Barrow Ghoul,Normal,NM,EN,Weatherlight,wth,f7055007-83dd-40fe-b2a1-4b3132f636db,61
1,Benalish Missionary,Normal,NM,EN,Weatherlight,wth,e9ac1992-6212-4f05-af16-c892dfc40643,10
1,Benevolent Unicorn,Normal,NM,EN,Mirage,mir,2a243bd7-af98-4e44-af6e-3b0b71d4837b,4
1,Betrayal,Normal,NM,EN,Visions,vis,7f9b5c75-882e-4fe4-827f-584080e91485,26
1,Betrothed of Fire,Normal,NM,EN,Weatherlight,wth,5e517aa4-d8ba-4a49-bf9f-172bf029fa52,89
1,Binding Agony,Normal,NM,EN,Mirage,mir,b620a9f4-358d-4436-85b8-b0c16602ff57,106
1,Blistering Barrier,Normal,NM,EN,Mirage,mir,56d000d8-24e1-4cf3-bed9-e68a89c8f569,159
1,Bloodrock Cyclops,Normal,NM,EN,Weatherlight,wth,5c642fd9-38f7-4029-ab93-e1dc5636c1ad,90
1,Boiling Blood,Normal,NM,EN,Weatherlight,wth,3fcb85b6-ab5a-40db-aaae-555315f32877,92
1,Bone Harvest,Normal,NM,EN,Mirage,mir,1cfde1ca-52f9-477d-a36e-6e4f7ca2e4d8,108
1,Boomerang,Normal,NM,EN,Mirage,mir,f5c98413-740d-47fd-bed6-2d3d05a72b31,56
1,Breathstealer,Normal,NM,EN,Mirage,mir,0cd9da69-5e57-4719-a712-630c9464fada,109
1,Burning Shield Askari,Normal,NM,EN,Mirage,mir,486547cd-d2e7-4c46-9f7b-81c4267d65cc,162
1,Celestial Dawn,Normal,NM,EN,Mirage,mir,89fb4c4a-ccdd-4f3c-80cf-356ab7836e16,6
1,Chimeric Sphere,Normal,NM,EN,Weatherlight,wth,cc96857c-b38e-4614-9838-cacd3700e3ee,148
1,Choking Sands,Normal,NM,EN,Mirage,mir,e41c15fb-01a1-446e-9e88-71e8e95d9bce,113
1,Choking Vines,Normal,NM,EN,Weatherlight,wth,6cc4a7ee-f6f0-454a-9074-5988fdee1f34,123
1,Cinder Cloud,Normal,NM,EN,Mirage,mir,f044c470-50ce-4a6c-b8ab-665357c3c11e,165
1,Cinder Giant,Normal,NM,EN,Weatherlight,wth,de97c939-2c44-4c43-9d66-1087bcee692b,93
1,Cloud Elemental,Normal,NM,EN,Visions,vis,4f2a5146-cf2e-40c0-b498-06e611343196,29
1,Coils of the Medusa,Normal,NM,EN,Weatherlight,wth,502bfb38-4a37-4053-af20-d5606ffc67c8,65
1,Coral Atoll,Normal,NM,EN,Visions,vis,5d7c4619-e5af-4aa0-bd3f-6bf0e1fdc1fc,160
1,Corrosion,Normal,NM,EN,Visions,vis,176122b2-f60f-4150-8c0c-757c8f8914d2,128
1,Crypt Rats,Normal,NM,EN,Visions,vis,736455f6-c1b3-4a5a-a91f-a0cd3986ed53,55
1,Crystal Vein,Normal,NM,EN,Mirage,mir,1afb6e29-058e-44c5-a3fa-56c462f070a0,325
1,Dark Banishing,Normal,NM,EN,Mirage,mir,5f983dcb-b077-465f-a70b-6bd0e425556c,115
1,Dark Privilege,Normal,NM,EN,Visions,vis,10d2cf44-cc20-4a37-81ae-930f8c6d0896,56
1,Death Watch,Normal,NM,EN,Visions,vis,0e939d8f-6989-4884-989b-9cba566c9963,57
1,Decomposition,Normal,NM,EN,Mirage,mir,b0ea46a1-ea65-4802-812c-4f0e0f3088d2,212
1,Delirium,Normal,NM,EN,Mirage,mir,c52981ea-1173-4f4b-a929-705a11c6e381,260
1,Desolation,Normal,NM,EN,Visions,vis,3b186460-d2af-4912-ba19-95b2cb5f1639,58
1,Disrupt,Normal,NM,EN,Weatherlight,wth,c6cc89b0-9acf-452b-ac1a-bc7e90eb32fc,37
1,Dissipate,Normal,NM,EN,Mirage,mir,36d9271d-6dbf-4640-9222-721a7a3ccc08,61
1,Divine Retribution,Normal,NM,EN,Mirage,mir,75629aa3-426e-4e25-a7ab-71e03436e061,12
1,Dormant Volcano,Normal,NM,EN,Visions,vis,6aa92be7-883f-42bd-8623-00eb2df28a98,161
1,Dream Fighter,Normal,NM,EN,Mirage,mir,aec06bc9-553c-4e01-8b43-a4eeaa511b4d,63
1,Dwarven Berserker,Normal,NM,EN,Weatherlight,wth,7bc734e9-fb09-4094-94b6-76c0458649e9,97
1,Ebony Charm,Normal,NM,EN,Mirage,mir,937c8016-43c8-418b-9057-b5d6715f71f7,120
1,Ekundu Griffin,Normal,NM,EN,Mirage,mir,3a32778b-e6ff-45ca-8b22-dc97a406faa4,13
1,Elephant Grass,Normal,NM,EN,Visions,vis,f4c1f5a7-0d28-43ab-9b66-937e963f42cd,104
1,Elixir of Vitality,Normal,NM,EN,Mirage,mir,60450239-6055-4561-9f8c-565b4e4d9cb1,300
1,Emerald Charm,Normal,NM,EN,Visions,vis,e9c9199b-61b3-4794-878b-f065058f50f3,106
1,Empyrial Armor,Normal,NM,EN,Weatherlight,wth,5518a79f-bcae-417a-b01b-b6ff572be0be,13
1,Enfeeblement,Normal,NM,EN,Mirage,mir,bf808509-c6c2-4dcb-b35b-e61291faf5d9,121
1,Enlightened Tutor,Normal,NM,EN,Mirage,mir,cbac1d27-15e2-4e2f-82ab-625a16e096cb,14
1,Ersatz Gnomes,Normal,NM,EN,Mirage,mir,5a2747ab-00c8-4f59-b9a6-54ff4e99f6c8,301
1,Everglades,Normal,NM,EN,Visions,vis,c1f2eaf7-7f08-446b-892f-5a844f74808f,162
1,Fallen Askari,Normal,NM,EN,Visions,vis,00107210-313f-49c1-84ff-92628f75b764,59
1,Fallow Wurm,Normal,NM,EN,Weatherlight,wth,1ba02b6f-6010-47a4-8670-406391a52a68,126
1,Favorable Destiny,Normal,NM,EN,Mirage,mir,e5657403-7c86-4eb6-84b0-75eedb04a5a2,16
1,Femeref Healer,Normal,NM,EN,Mirage,mir,90dedd5e-e2ee-46ec-8541-27f1548b2a2a,17
1,Femeref Scouts,Normal,NM,EN,Mirage,mir,60192ded-689b-4cc5-9293-bff52924089b,19
1,Feral Shadow,Normal,NM,EN,Mirage,mir,672e2d34-1aae-47c7-8b7a-e3354bbbd662,122
1,Fetid Horror,Normal,NM,EN,Mirage,mir,4be39d50-1e36-4dac-a923-81fc9f229b8d,123
1,Flooded Shoreline,Normal,NM,EN,Visions,vis,49db9f58-380f-496e-9d3d-6776d30fb564,32
1,Flood Plain,Normal,NM,EN,Mirage,mir,7b7610f3-f182-404e-80b9-ccd94e174db0,326
1,Fog Elemental,Normal,NM,EN,Weatherlight,wth,28b454d0-7dc7-419f-aefa-f20f37444658,40
1,Forest,Normal,NM,EN,Mirage,mir,a0ae7a81-9a61-4112-af22-369c525b2eb1,347
1,Funeral Charm,Normal,NM,EN,Visions,vis,e79d7240-2014-4838-bace-80666192a73e,61
1,Gemstone Mine,Normal,NM,EN,Weatherlight,wth,09507f7f-c58f-4f57-b878-b39811a5b619,164
1,Gibbering Hyenas,Normal,NM,EN,Mirage,mir,a252a1f5-bba5-4525-8141-57caea9624e9,219
1,Goblin Tinkerer,Normal,NM,EN,Mirage,mir,e6529852-8b3e-4a70-a4a1-029e012231c6,180
1,Gossamer Chains,Normal,NM,EN,Visions,vis,e9917a29-c6b4-4e0a-a301-21868bd27e17,6
1,Grasslands,Normal,NM,EN,Mirage,mir,65f5efac-ef98-4be2-abcc-1aa38bf66b06,327
1,Griffin Canyon,Normal,NM,EN,Visions,vis,705d8194-3ad0-41b7-ae32-9c0cd8cd46b9,163
1,Guided Strike,Normal,NM,EN,Weatherlight,wth,c6e8ec37-abe8-45a9-a1a0-6d4e37c74c45,16
1,Helm of Awakening,Normal,NM,EN,Visions,vis,41bba882-39b8-42db-9a01-54c6712b8019,145
1,Hidden Horror,Normal,NM,EN,Weatherlight,wth,885dc4c5-2ade-4497-b579-0307c67ac783,72
1,Horrible Hordes,Normal,NM,EN,Mirage,mir,cf04f2cd-d9f8-4e0c-adaf-6d38bc14dd7a,304
